"用户名","profile_url","关注者","关键词","last_post","类别"
"iNeedMoreDollars","https://polymarket.com/profile/0xeda89efec5549d4df3bf4cce85119b5d8b2d6ca8","","wait","wait i missed this why did they close their airspace now?","预测市场用户"
"nasrysami","https://polymarket.com/profile/0x87a0fb1664f0c174427d1b74d194cd2a739bf6bb","","prediction market","Morocco is underpriced too much. if they read round of 16 you can easily 5x your money","高风险赌徒"
"cloudpaper","https://polymarket.com/profile/0x6480d5c5d644d1692910272cd4179349f0039710","","bet | betting","Everyone start betting against Argentina so I can snag up more cheap bets, whyyy","高风险赌徒"
"FSon","https://polymarket.com/profile/0x81885fd9479ebcf6ae00c597b269681e6267b1be","","prediction market","if u want a big hit and ROI, should trade in crypto 5 min market","加密交易者"
"KeithStarmer","https://polymarket.com/profile/0x7ae8b850049d07152b1741fbde10c7b6c0a45a42","","shares","Everyone sell your YES shares i'm not going anywhere","Polymarket 交易者"
"willo3","https://polymarket.com/profile/0x33e27ac64a453337cfcea8345c705a407c573a1b","","prediction market","polyscam, anybody who buys N here will have their airdrop allocation removed","加密交易者"
"Pilagi","https://polymarket.com/profile/0x301f1f5cc0123bf80a037aaeea9c34080d5c3609","","shares","Yes, but ""Both Israel and Iran provide clear public confirmation that a qualifying agreement has been definitively established."" and Israel has not yet commented officially on the agreement, futhermore Israel specifically said Trump's agreement does not bind us Sell your shares before you lose any more money.","Polymarket 交易者"
"clarifils","https://polymarket.com/profile/0xdf1e9535b9bb8496a7b1aca7560099249b4d7465","","please","please give me a link where they vote on which outcome will win","预测市场用户"
"NoMoreBullRun","https://polymarket.com/profile/0x4c1fa7156c9065ae59094ae006963b6b04b908a6","","lost","Fact: Croatia only lost to the champion in 2018 & 2022. So easy money.","高风险赌徒"
"XDrawr","https://polymarket.com/profile/0x1638bbf6b7f2b07b21b2e6f0d4aeae7d4e4cec7d","","position","we see ur position goofy","Polymarket 交易者"
"DontBePanican","https://polymarket.com/profile/0x8d89cc3ba9047d5dc7bba36f70990ec373d1b77d","","wait","Or just wait few hours till morning to see the flights are on schedule","预测市场用户"
"Matthewceo","https://polymarket.com/profile/0xe8278d22bef444ede84505b7c0ec4e4001305209","","shares","well yes i agree with you, i had 800 shares of no goal for Ronaldo","高风险赌徒"
"trade-bet","https://polymarket.com/profile/0xef32ca22132e192cb40dc8ebbee3ac04df5e265c","","bet | shares | resolve","you can't hold when it resolved to yes you will lose your shares better to sell here before resolve","Polymarket 交易者"
"XLR8arc","https://polymarket.com/profile/0x76492f8c535a09166708d350bd0220ab3f190cd2","","all in | risk","Also don't do bonding on shiity markets ... never go all in bruhhh why would you even do that .. you are risking 20k for that 1k$ thinking it is safe.... there is no free moneyy ..","预测市场用户"
"pbshine","https://polymarket.com/profile/0x9def9524630e31ff90f884eed32c3eecfbf8d1a5","","waiting | wait","i knew someone was waiting till last min to wipe out the yes holder","预测市场用户"
"ithinkthisisgod","https://polymarket.com/profile/0xf1ff40f082633619cd012bb96affb4ac7a645b03","","wait","Oh wait they closed again and its sunny in iran","预测市场用户"
"ImBadAtGamba","https://polymarket.com/profile/0x4ea142832a341a5ff15efebe7a06b857d4a906a0","","bet | betting","Honestly I’m just betting for spirit cause of their coach","预测市场用户"
"Amnyam228","https://polymarket.com/profile/0xb2870d7fa299718896b7ca4ef40a02e4c10cd991","","wait | down","Maybe stop whining and destabilizing the market already? I have info from someone in the know that peace is expected here in Europe soon. After Daniil Trumpovich deals with Iran, oil will be brought down and sold to Europe, and Russia won’t be able to do anything. Right now the main thing is not to whine. What’s required of us is to sit quietly. After everything is done, things will be good for us. Everyone will be provided for, like Saudi citizens — everyone will be rolling in butter. The main thing now is to sit quietly and not fuss. No selling, no NOs. Just wait it out and everything will be fine; everything is under control there.","Polymarket 交易者"
"heyeveryone","https://polymarket.com/profile/0x3b6e6f78b0c2961f6ea08dd1af0d274c55a59f9c","","prediction market","airdrop farmers here, report","加密交易者"
"Eatpraylove","https://polymarket.com/profile/0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8","","please | loss","After all these shameful performances, CONMEBOL should have its world cup allotment curtailed so that we can ensure more competitive matches. Top side from CONMEBOL only please. Paraguay and Brazil are only going to get these lopsided losses of 4-1, 7-1 etc.","预测市场用户"
"M977","https://polymarket.com/profile/0xb0b4a1d9a23829f2e02bbdcc5b10f4aa7f37fa63","","prediction market","Here comes the money 💵","高风险赌徒"
"YouPayMyRent","https://polymarket.com/profile/0x2387a79e2d81f0cf0226b9851c7ae9c9c24fd075","","bet | ape | down","Bibi will win again. Not because the cost of living fell. Not because housing got cheaper. Not because the average Israeli is living better. The campaign won't be about results. It'll be about security, fear, identity, Channel 14, Israel Hayom, TikTok clips, and an endless propaganda machine fueled by money and repetition. The message will be simple: the enemies are down, the ""Defender of Israel"" delivered. We've heard that before. October 7 happened too.","预测市场用户"
"a-humble-farmer","https://polymarket.com/profile/0xc8d7407e141724357c18aabe2a987d88f65ac704","","resolve","This market is if access is restored to US customers. Access can be restored for US customers with KYC Citizenship verification. The other market you mentioned is if they rescind the ban on foreigners/non citizens using it. They can allow access to US customers only to comply with the export control. In other words this market goes to ""Yes"" if either they rescind the export control entirely, or if Anthropic implements KYC for US citizens only to be able to use it. The other market only resolves to ""Yes"" if the export control is rescinded, but not if Anthropic opens up access to US citizens only.","Polymarket 交易者"
"Efimero","https://polymarket.com/profile/0xdc5030947c37c2a57a739f25e985425a74aaf490","","prediction market","Porque paga tan poco a que gana Sanchez, quiero meterle 1 sol para ganar 30 solcitos","加密交易者"
"strider-","https://polymarket.com/profile/0x997d116630ec7575f81798bf6267096801de5d15","","wait","and now we WAIT","预测市场用户"
"Tenebrus7","https://polymarket.com/profile/0xa8c63f775ddbbe66b56614191747def3021444e8","","afraid","Not yet at least, but I am afraid Israel might issue a statement that they honor the agreement but remain the right to defend itself. If they honor the agreement that angle could be used.","预测市场用户"
"Obinnahenry","https://polymarket.com/profile/0x221c711cf2650cce81b31f10bdaa6df7cbc7d3c1","","hope","Hope you have looked at the time?","预测市场用户"
"0x523A485b57962e81B3763745438938A602497D42-1777083035892","https://polymarket.com/profile/0x523a485b57962e81b3763745438938a602497d42","","bet","This question is dumb. There should be several markets here.. Will/when Trump allow access for everyone and reverse this restriction? Will/when Anthropic allow ""US Nationals"" to access these models again? And then there should be markets for what this will do to the market, because unless he reverses this, it will destroy the AI industry in the US as this implies no new models from any company can be accessed any better or just as good as Fable. And even if US Nationals an access it, this will require a lot of KYC to prove it, but in any case it wont be enough. If you took away access for the rest of the world (and even non-US nationals in the US), then then there's a huge market they cant sell to. Less income, less money to spend on chips etc etc. So expect chip companies to dump as well. Not only that, you give China free reign to take over. Therefore all questions (markets) should have the premise that Trump is doing this to actually do the opposite of what would actually happen. Currently this is extraordinarily bearish, but if he reverses the ban, it's incredibly bullish because now he;'s given Anthropic the best possible publicity and advertising. Now people will want Fable even more and more people will be looking up videos of people comparing how good Fable is!. Hold onto your butts come Monday.... 😅😅😅😅😅","Polymarket 交易者"
"Kkevin-289","https://polymarket.com/profile/0x3d81f4d9793c7d5cb1546d674f1b49b0bf4101be","","resolve","i am confused: why 1.3T and 1.35T not resolved to ""Yes""? the market valuation is 1.675T now","Polymarket 交易者"
"MarceloJaraCastillo","https://polymarket.com/profile/0x220cb58ddcac72a6a559871a7553a386470896ee","","please","Hi all, please help with this question. On june 03, oil settled $96.02 (CL). A this moment +$95 (buy yes) is 31%. So If I put $31, will I get $100??","预测市场用户"
"NixNov008","https://polymarket.com/profile/0xa5303c3d6321892667739ea611f2f6cb8a5188f6","","bet","Why don't you bet on Iraq NO then?","高风险赌徒"
"sgt435","https://polymarket.com/profile/0x0c43fe465b3576ecd4c692c9413ad8d827575003","","please","lets get all these dark horses from the article below as options please:","预测市场用户"
"pikachusplace","https://polymarket.com/profile/0x6adcccb0ea0b93a66e67f0d7b2b625b135a8beba","","hope","I think vitality is the best team in the world - no question Yes they was sucks at atlanta - but its time to fix it back imo .. i hope lol spirit is good team but yeah still i choose vitality every day tbh even navi have a chance to win spirit on first stage , navi is quite good lately","预测市场用户"
"AV59","https://polymarket.com/profile/0x42429f905751a9bbcd915d70efae01a272f879d9","","shares","I'll suggest you to transfer all your yes shares from june 15th to june 30th..","Polymarket 交易者"
"0x00B9DF6AFda2Ef1A26b02C763bC056c1601AE004-1778975651236","https://polymarket.com/profile/0x00b9df6afda2ef1a26b02c763bc056c1601ae004","","hope | bet | betting","I really really hope I lose the money I am betting in this one. I bet Abelardo de la Espriella will win, however he has malicious intentions; his political agenda is to deeply harm nature and impoverish common people by stripping us of basic and fundamental rights. Furthermore, he is a despicable, corrupt, violent, and insensitive individual, utterly lacking in compassion for human suffering and human causes. Also he will destroy the nature and the animal habitat.","预测市场用户"
"0ppt","https://polymarket.com/profile/0xa46ffb3f445c1dd550c1dbf98df9d547c3a087c3","","bet | down","It's almost a given that Trump will make some exaggerated claims during the next round of US-mediated peace talks between Israel and Lebanon. Going to average down until after the talks and reevaluate on the price increase or lack thereof.","预测市场用户"
"JohnnyBlaze1","https://polymarket.com/profile/0xbccb59fc8ec2628cb59f62fb355e8e83a30131e2","","please | shares","Please on the activity tab add a yes/no filter because I genuinely couldn't care less if someone buys NO shares for Bottas, it is absolutely useless to see that.","高风险赌徒"
"0x034571B5F3fd92d3b425e94226076e2332969a20-1777324775668","https://polymarket.com/profile/0x034571b5f3fd92d3b425e94226076e2332969a20","","please | bet","Please add Patrik Shick I need to bet heavy on this one","高风险赌徒"
"MAHAGOGO","https://polymarket.com/profile/0x12d24a819eeb313418ef353150c9fc98e95117af","","prediction market","UMA token Holder will decide 🤣","加密交易者"
"caiowasem","https://polymarket.com/profile/0xe10438717c7a997405ecafe852d7d292e76751fb","","bet","I need to bet on lukaku...","高风险赌徒"
"holderiano","https://polymarket.com/profile/0x7020a9119642532d203a5b6079768d860bc93ab2","","all in","I'm peruvian and even I learned about it. After peruvian elections are over I'm going all in Cepeda","预测市场用户"
"Health-115","https://polymarket.com/profile/0xd2ea4dd32bd03bfd67587d6ce3a6e8e1b6b3d0a0","","odds","Player of the tournament odds?","高风险赌徒"
"0x9316336836C52e429e9F3EeFc5A09fb5FaFE7092-1760115092085","https://polymarket.com/profile/0x9316336836c52e429e9f3eefc5a09fb5fafe7092","","bet | risk | down","80% is a high % is worth the risk to bet he wont win, the % will go downtrend this week after the hype, I will sell before the election.","预测市场用户"
"Albertm6","https://polymarket.com/profile/0xdb0845f9a5f970b1544153bce070e1320206f30b","","odds","Ben Gvir haven't even started his elections campaign. Also, if something would prevent Benjamin Netanyahu from participating in this elections (resignation,prison etc...) Ben Gvir would be the most natural choice for Israeli right. also there could be surprises like the Bennet becoming p.m 5 years ago. and the most special element in this elections is that Bennet isn't actually as Leftist as you all think. he and BenGvir might make a special deal - super low chance - but very much possible.😁 in my opinion Ben Gvir is so worth it. odds are crazy high!","Polymarket 交易者"
"smartspec1","https://polymarket.com/profile/0xbade82415e3b67c2c9446625104b16d4beeeb0d9","","all in | resolve","i'm all in on no may 31st right now. will buy yes june 15th once this resolves","预测市场用户"
"Wan234","https://polymarket.com/profile/0x0ebfcd3efd430309fe2d421f06ace87d6ba25bfa","","please","Please add a Sept Market as that's the most relevant","Polymarket 交易者"
"DrunkenAviator","https://polymarket.com/profile/0xe631ae5fcb5e84c2dc793eb17c2c20cb5fbd3498","","odds","Kamala is undervalued. Bought up when she was at 1.9%, crazy opportunity back then considering the Rock was at +3%... I dont know if she'll be president, but I can see the odds rise up to 15%. Just take a look at the ""Democratic Presidential Nominee 2028"" market...","Polymarket 交易者"
"homerkhan","https://polymarket.com/profile/0xf8eb681fb8909496dc15aea5b233b310e2db8473","","waiting | wait","Are you wating? Waiting waht? New Hodges news?","预测市场用户"
"goodmanasd","https://polymarket.com/profile/0x4934d6874bd6a29228c1c70bcfc02d4b1d0a1587","","bet | betting","He thinks one person is trashtalking him from multiple accounts... I wouldn’t be surprised if he believes in conspiracy theories and stuff. He keeps betting 'yes' and it’s kind of depressing","预测市场用户"
"gotthedrip","https://polymarket.com/profile/0x092b8a525136a3eaa0a435a81ced91feea967d4c","","resolve | resolution | down","Can someone clarify the resolution logic for the ↓$1.4T market? The rules say the market resolves “Yes” if SpaceX’s NPM valuation “reaches or exceeds” the listed amount, which sounds like ≥ $1.4T. But the down arrow and current pricing suggest it may actually mean valuation falls to or below $1.4T. Which interpretation controls for the downside markets: the written “reaches or exceeds” language, or the down-arrow meaning of “at or below”?","Polymarket 交易者"
"xLorDi97x","https://polymarket.com/profile/0x0bc96ba978843e0a78347d438bb163eda9a24067","","odds","English media guys dont be surprised, sell when odds are low to leave bc every week they will come up with something i guarantee you. Idk if media in the usa is extremely bad as well, here will still be 10x worse","Polymarket 交易者"
"Nikkolicious","https://polymarket.com/profile/0xc35366f8746a82b04c317e59a41dabfff54963d6","","wait | luck | bet | resolve","BOYCOTT / TRADERS MASS EXIT - the Ceasefire extended by April 22 market was falsely (objectively / factually) resolved as NO when it is patently / truthfully / absolutely YES. This was due to the market having $200 million in it (which Polymarket STOLE) and due to late insider trading. Class action international law suit looming.... Polymarket will be forced to double pay out and to close its (dis)service. Good job. Better luck next crime you cheating, Right Wing c***s. I cannot wait to be a major part of literally ending you. Strap in criminals.","Polymarket 交易者"
"0x7Ee7B7fe80641bE006601Fce0D43D0CD0A5517b0-1772646139842","https://polymarket.com/profile/0x7ee7b7fe80641be006601fce0d43d0cd0a5517b0","","resolve","No way i'm ever getting into any ceasefire or most events actually that resolve without a specific outside sigularl data source after what polymarket with previous Ukraine ceasefire market. You can only scam people so many times.","Polymarket 交易者"
"Krag676","https://polymarket.com/profile/0xba530e3c14b6b0fe9a9882b888a46c20dbb179c7","","waiting | wait","waiting for another scam","预测市场用户"
"Hodetovervann","https://polymarket.com/profile/0x57fe60ad7a2ac44ae08a99aa009d1d7096a60522","","odds","I think that DeSantis could be a joker, he might not win, but his odds could in my opinion go to 20-30%","Polymarket 交易者"
"ProbEdge","https://polymarket.com/profile/0x7cef365d1b63174ac0fc5dcdd47d6024f620222a","","position","Keeping my position small for now","Polymarket 交易者"
"RealRonnieTyler","https://polymarket.com/profile/0x89c2f52b95fbc2367c32b5093ef6774d77b47ce4","","please","the f you talking bout, geologically? You mean geographically? Or are the rocks like, too slippery to defend? Anyway, considering all the things IRGC & co have said the US and Israel won't be able to do, but then they did exactly those things, I wouldn't take their word for it. But, your opinion Sir... I'm listening 🫡 Please give me a quick walkthrough of your geo-survey 😁","预测市场用户"
"Yurion0","https://polymarket.com/profile/0x47e7c056f2428aeff262f542fc11aeb5b965ecbf","","bet | position | shares","Interesting that 'gopfan2' with a 2 million PnL and 177,993 shares is voting for ER, and on the opposite side 'tdrhrhhd' with a 2 million PnL is voting against ER. Who will win? Let's see. Maybe this will be the first time gopfan2 loses his 116k position, or I'm just stupid to bet in the opposite direction. 😆😅🌚","Polymarket 交易者"
"0xF19E692Ca1564C7106b64454fc1A119074816eE8-1765390343318","https://polymarket.com/profile/0xf19e692ca1564c7106b64454fc1a119074816ee8","","bet | betting | odds","There's no point in betting on such low odds; it's more profitable to bet on all the playoff matches Vitality, it'll pay out more)","Polymarket 交易者"
"werfrens","https://polymarket.com/profile/0xd3b2873d6e427c4925cdff50d775a1bbe663ee3e","","hope","Don't give me hope max","预测市场用户"
"0xbf0F67F56d6B15966a1330666cEA97f81649a49C-1767629849523","https://polymarket.com/profile/0xbf0f67f56d6b15966a1330666cea97f81649a49c","","prediction market","And you put money on the one that can't drive? haha","高风险赌徒"
"whumpa","https://polymarket.com/profile/0xe000e1dd06d3d17dc943dc9215a2e166efd5cbb1","","odds","They are cooking fedwatch and general public opinion to lower the inflation expectations. Lieing also prevents the speculative investors from frontrunning. Polymarket odds are about right. We'll probably get rate cuts.","Polymarket 交易者"
"rrrttt676767","https://polymarket.com/profile/0x86da6f91b384ad5c8542c5717905d31906d039f5","","bet | betting","betting Europe and South America is almost a Sure Bet !","高风险赌徒"
"cadencede","https://polymarket.com/profile/0x6f58f9668ef7d8540cac06527a76b71265973982","","bet | position","my prediction market AI agent at pref[trade] just told me to bet on Bennett! 35c vs 39c?? opposition might win this time","Polymarket 交易者"
"Saxiii","https://polymarket.com/profile/0x94caff807835f62a7fbbdfc812206e2129cf2c14","","position","I have my position on a ""yes"" for US invasion to happen during this year, but I have to agree that Kharg island does not seem like a feasible target at all. Any potential territory capturing I would assume will take place in the Hormuz strait.","Polymarket 交易者"
"Thefish","https://polymarket.com/profile/0x4941b54de4aee443cff968b42f2fead12b916871","","please","Please ignore what I previously wrote.","预测市场用户"
"Md.Maruf","https://polymarket.com/profile/0xbde8a06fca2e511102857f8c062cc2008332d886","","hope","Who will be help me.. you will win big one I hope.. God bless you..","预测市场用户"
"CryptoNomadq","https://polymarket.com/profile/0xdf083cf529868f44d47b68504301f5bce4cec317","","waiting | wait","Waiting for more data before jumping in.","预测市场用户"
"CryptoAll","https://polymarket.com/profile/0xc1aef128cd11b77c8dc3ad51703c18714d71f6d1","","bet | down","Mr president be quied my bet vance is down","预测市场用户"
"MarySmithPro","https://polymarket.com/profile/0xa738ea5013bd4eec815610f79c231ac20cc2424a","","hope","But Iran didn’t say it… I hope. But 🤷‍♀️","预测市场用户"
"Goycel","https://polymarket.com/profile/0x59e447a936eb77f1cdf0216585a49eb73f8c8fe6","","shares","I cant sell my shares wtf??","Polymarket 交易者"
"TheBlueWizard","https://polymarket.com/profile/0x60d2ba878532e901eab7a88840d00678463e4268","","resolve","Check the rules. ""This market will resolve according to the political party that gains the greatest number of seats in the next Russian State Duma election, compared to before the election."" If I got it right, e.g., before the election ER holds 324 seats, NL holds 15 seats. After the election ER now holds 290 seats (–34), NL now holds 55 seats (+40). Winner: NL.","Polymarket 交易者"
"Chococremeux","https://polymarket.com/profile/0x08a6e4da67d93ab30bb3e4c88c550977866af3cc","","all in | bet","Muricans have been making bad choices for 10 years, international community would have made a better choice. We should pick it for you this time : Newsom, Michelle O., M. Carney, Kelly, Massie, Talarico (one day). Khanna aint bad tho. Sad that the country is racist and all in about jesus because there are also legit picks in that Omar muslim club.","预测市场用户"
"0xd448281c9f1A26370c9680aF992F1561411a4175-1769548412810","https://polymarket.com/profile/0xd448281c9f1a26370c9680af992f1561411a4175","","cash out","I recommend you to cash out","Polymarket 交易者"
"QuatschTrading","https://polymarket.com/profile/0x506d546d94b2fae70c146d0ea8a3b1f6aa8ee723","","wait | resolve","Wait i can cash put even before the market resolved wth loool","Polymarket 交易者"
"latenightdegen","https://polymarket.com/profile/0xff05e8bc355736f89ccb56a658912db1ad500a63","","waiting | wait | bet | resolution","it can better to sell out via limit order at 99.x cents than waiting for a resolution btw","Polymarket 交易者"
"leverage-trading-polymarket","https://polymarket.com/profile/0x3d85e12f609feb9e6cad04a435e849244888364b","","wait | losing","The Dodgers at 28% this early in the season is less about 2026 form and more a tribute to roster construction - Ohtani, Yamamoto, and three legitimate front-line starters gives them a structural advantage no other NL team can match. That said, 28% in March for a 162-game season where variance is enormous is still significant chalk. Wait for the trade deadline picture to sharpen before getting aggressive, but fading the Dodgers pre-deadline has been a losing strategy three years running.","预测市场用户"
"FakerKiing","https://polymarket.com/profile/0x38fa7a074c66d335f6060af6e9ac365aff473856","","bet","Im going to put a bet on Africa, I believe that Morocco or Senegal could make it","高风险赌徒"
"CryptoGambler6000","https://polymarket.com/profile/0x6b2532f18f541e17f6b442a9ea94c63e7393615b","","lost","Need a 5 lost everything I'm sorry","预测市场用户"
"lost-lotus","https://polymarket.com/profile/0x95c7cde2df7108f7aa9c3c84dfccb3ca40c1f943","","lost","hey there, i was wondering if anyone would share $10 dollar, i wanna take it out, lost all my pocket money here on gambling, ill be ever grateful to you","预测市场用户"
"Coerce","https://polymarket.com/profile/0xb5d675c4aad00a91697f1b8aca815ace24a26e57","","uncertain | uncertainty","i don't have a view on israeli politics. i have a view on how this market misprices uncertainty. different thing entirely","Polymarket 交易者"
"LeBaguetteTM","https://polymarket.com/profile/0xbedf7a174000a241efd5c89d6cac8c3f12cfffd7","","bet","it's all over, keeping this bet in case Max breaks George's bones","高风险赌徒"
"ac.2","https://polymarket.com/profile/0xa64195e81f42fe94c2b95c17d1a5425168250fd0","","lost","I lost a lot of money","预测市场用户"
"0xf78Ab5D94ce3c154E6DD709Ef5A4CF5A29459f65-1764936751671","https://polymarket.com/profile/0xf78ab5d94ce3c154e6dd709ef5a4cf5a29459f65","","resolve","Can someone tell me what happens if the FED raises the rate? The market will resolve to 0bps or another option?","Polymarket 交易者"
"Sonmerfield","https://polymarket.com/profile/0x1adc76a91839dce9bf852bcee73a5df5429a0366","","odds","Europe. No question. France, Spain, England, Germany, Portugal... that's too much quality. South America only has two real threats, Argentina and Brazil. The odds are always stacked for Europe and the winner usually comes from there.","高风险赌徒"
"road","https://polymarket.com/profile/0xa8c78998bd360c8a73664e698fc8ce174f99de48","","risk","but still risky; one tweet ends it all. i might just sell for the scalp","Meme Coin 用户"
"al0ne","https://polymarket.com/profile/0x2ae5dfde24671f3201d7c39a760472819274155e","","risk","ill buy around 10 cent, ur playing too risky btw","Meme Coin 用户"
"FireSnake","https://polymarket.com/profile/0x9793f633e184d3ef3c5ccf9352e2d0258be1ce0a","","memecoin","POTUS and a rug pull ... you all fucked up my new documentaire","Meme Coin 用户"
"mochiko","https://polymarket.com/profile/0x712031da5ab751227e926c561363c00fd761201b","","memecoin","Just found out the memecoin creator can short Perp on Binance... there goes my $11, RIP.","Meme Coin 用户"
"zQXKhKjCfdrgJ","https://polymarket.com/profile/0xb9ee66263ac4c8b9e7a05f3277c009980f90cf2c","","memecoin","where can i verify this?","Meme Coin 用户"
"2yhgdbn92djdsldb008203","https://polymarket.com/profile/0x1a4ecb97ec3280f6b00ba905e1c390d729371370","","ape","This is just the hack market but cheaper","Meme Coin 用户"
"fromthefuture","https://polymarket.com/profile/0x36733c5e20efb0228bed4fa9c376f604fb54ce22","","bet","somebody bet big on this then hack his account. boom, money in the bank","Meme Coin 用户"
"HouseAlwaysWins","https://polymarket.com/profile/0x076425d6110b25e6d1c17b14cfefa84b29918c45","","bet | betting","lol i agree that bitcoin is king but do you not realise the irony considering you are betting on a market running on polygon which is running on ethereum","Meme Coin 用户"
"Garni","https://polymarket.com/profile/0x284b5301e4695117a87311dae5eaeea103d5cfe3","","memecoin","I am sure he will post about his coin [link removed]","Meme Coin 用户"
"WordleAddict","https://polymarket.com/profile/0xe25b9180f5687aa85bd94ee309bb72a464320f1b","","down","Relay be like yeah im down 5k bonding this market, but at least I got you for $30 on founding fathers lan dumfuq 🤣","Meme Coin 用户"
"Reini1860","https://polymarket.com/profile/0x34aec52df8f2a59167ce37f7c4dde17b8d58d4dd","","bet","it is now March 2nd. isnt it now over? Why the bet is not closed?","加密交易者"
"alpmensch","https://polymarket.com/profile/0xfbdfcf938975b227f8aba8ebb0cec2f04afa2b75","","crypto","The 7day chart is already settled","加密交易者"
"Herotruck","https://polymarket.com/profile/0xf5acb92de618eac7aa4168f73fe2a414556e557c","","crypto","[link removed] ""Will discuss @OXFUNHQ roadmap, starkware, ethena, worldcoin, and other topics w/ @KyleLDavies and @TheRyanLion""","加密交易者"
"MAGA4eva","https://polymarket.com/profile/0x579a830f55239dde6999335f9b803dc9200e46d5","","losing","DECRAPP has confessed to me, while stalking me endlessly, that he is ILLITERATE AND INNUMERATE. DECRAPP quite literally CANNOT READ, and is ASHAMED OF THIS. This is why DECRAPP ENDLESSLY LIES. DECRAPP is a pathetic shameless worm only capable of LOSING MONEY, and then LYING ABOUT IT. [link removed]","加密交易者"
"ASDFlol","https://polymarket.com/profile/0x8fe97baff1041063a30432e23ef42fa83ece4749","","crypto","It’s obvious Zhu and Kyle are trading against themselves on Polymarkets","加密交易者"
