用户名,平台,关注者,profile_url,最近的帖子,社区,评分,age_minutes,freshness_score,discovered_at,post_created_at
WuBlockchain,X,557200,https://x.com/WuBlockchain,"[2026-06-20T23:51:52.000Z] Ethereum's Well-Known MEV Bot JaredFromSubway Exploited, Suffers $7.5 Million Loss Blockchain security firm Blockaid reported that Ethereum MEV bot JaredFromSubway lost approximately $7.5 million after attacker-controlled contracts tricked its automated execution system into https://t.co/jIGWAiDW9F || [2026-06-20T23:37:03.000Z] MainStreet-Related MSUSD Drops 85%, Morpho Market Hits 100% Utilization Amid Liquidity Concerns According to PeckShield, MainStreet Finance-related token MSUSD fell as much as 85%, while the Morpho msY/USDC market reached 100% utilization. AlphaUSDC Delta V2, curated by https://t.co/maPS7JwWke || [2026-06-20T20:11:00.000Z] Ripple CEO Blasts JPMorgan: Intentional misrepresentation to protect profits On June 11, 2026, Ripple CEO Brad Garlinghouse @bgarlinghouse responded to JPMorgan CEO Jamie Dimon's opposition to the Clarity Act during an interview on Fox Business. Garlinghouse stated that Dimon https://t.co/aFI2yar53B",Crypto Traders,54,2,S,2026-06-20T23:54:22.468Z,2026-06-20T23:51:52.000Z
DraftKings,X,401300,https://x.com/DraftKings,"[2026-06-20T23:50:53.000Z] There’s currently a petition to rename the Hudson River to the Brunson River with 2,000+ signatures 😂 Knicks fans are different 😭 https://t.co/3s6etRWq6l || [2026-06-20T23:15:38.000Z] Position player WAR leaders 🔥 🔴 Pete Crow-Armstrong 🔵 Bobby Witt Jr. 🔵 Kevin McGonigle 🔵 Cody Bellinger 🟢 Nick Kurtz 🔵 Andy Pages Which name surprises you most? 🤔 https://t.co/zXMtggRecU || [2026-06-20T22:25:21.000Z] PCA has homered in 5 of his last 7 games 🤯 ✅ HR ❌ ✅ HR ✅ HR ✅ HR + Cycle ❌ ✅ HR He’s completely locked in right now 🔥 https://t.co/yNHQ1DZ2qT",Betting,48,3,S,2026-06-20T23:54:22.468Z,2026-06-20T23:50:53.000Z
Covers,X,173300,https://x.com/Covers,"[2026-06-20T23:40:00.000Z] The USA's path to the semifinals as it stands: R32: Bosnia-Herzegovina R16: New Zealand or Czechia QF: Uruguay, Austria, Congo DR, or Ghana Are you tailing this dream run for the USMNT? 🇺🇸 https://t.co/OmXdrzCfJO || [2026-06-20T21:55:50.000Z] IVORY COAST BETTORS, LOOK AWAY 😭 IN THE 87th MINUTE NO LESS 📉 WHY DIDN'T HE SHOOT?? https://t.co/y6fxAiFDSF || [2026-06-20T23:10:00.000Z] The Ivory Coast watch party could NOT believe the ending of the game 🤯 (Neither could Ivory Coast bettors 😭) https://t.co/CLmzw4RRgF",Betting,48,14,S,2026-06-20T23:54:22.468Z,2026-06-20T23:40:00.000Z
CaesarsSports,X,56000,https://x.com/CaesarsSports,[2026-06-20T23:24:59.000Z] Today's tournament results so far 🇳🇱 5-1 🇸🇪 🇩🇪 2-1 🇨🇮 Will the trend keep rolling? 🤔 https://t.co/dXZWXKxSVM || [2026-06-20T23:18:39.000Z] Call your shot for this Group E matchup! 🇪🇨🇨🇼 https://t.co/lfDUKSusRR || [2026-06-20T22:53:08.000Z] A bettor in Nevada wagered $7K on France to win the tournament at +700 🇫🇷 Potential return: $56K France is now the favorite to win it all 👀,Betting,52,29,A,2026-06-20T23:54:22.468Z,2026-06-20T23:24:59.000Z
Polymarket,X,1600000,https://x.com/Polymarket,[2026-06-20T23:21:36.000Z] BREAKING: 67% chance Keir Starmer is out as British Prime Minister by Monday night. https://t.co/zNovPtu4NA || [2026-06-20T22:38:00.000Z] NEW: Trump announces the individuals accused of vandalizing the Reflecting Pool will spend “years in jail” || [2026-06-20T22:20:40.000Z] JUST IN: JD Vance endorses using a “sovereign wealth fund” to take U.S. stakes in major AI companies.,Polymarket | Prediction Markets,45,32,B,2026-06-20T23:54:22.468Z,2026-06-20T23:21:36.000Z
oddscheckerUS,X,108700,https://x.com/oddscheckerUS,"[2026-06-20T23:03:23.000Z] It is officially ""Win or Go Home"" mode in Kansas City. 🍿⚽️ Both Ecuador and Curacao dropped their opening-day matches, meaning the loser of tonight's match is virtually booked on a flight home. Ecuador needs goals, and they need them fast if they want to survive https://t.co/CZBfXOxhAC || [2026-06-20T19:58:24.000Z] Get the hottest picks and betting trends in the palm of your hand. Backed by 5+ years of expertise combined with cutting-edge AI. Download OC+ today ➡️ https://t.co/kCqTYoChKQ https://t.co/BX4XV1tzto || [2026-06-20T19:02:53.000Z] If you like high-pressing, high-scoring chaos, this is your game of the weekend. 🍿⚽️ Germany is on a lethal 10-match winning streak, and Ivory Coast has quietly won 9 of their last 11 overall. Neither of these teams knows how to slow down. We are completely passing on a side https://t.co/28ftCQepOv",Betting,53,50,B,2026-06-20T23:54:22.468Z,2026-06-20T23:03:23.000Z
PolymarketCS2,X,15900,https://x.com/PolymarketCS2,[2026-06-20T22:49:58.000Z] Counter-Strike https://t.co/bT0Cik6aVR || [2026-06-20T21:52:33.000Z] Rumor: zont1x is getting replaced by Magnojez in Team Spirit (harumi) Polymarket traders are not buying it though - only 3% chance of any roster change before July https://t.co/UxAsEuTHh1 || [2026-06-20T21:52:44.000Z] What do you think? https://t.co/aWV87dEcg0,Polymarket,48,64,C,2026-06-20T23:54:22.468Z,2026-06-20T22:49:58.000Z
oddschecker,X,151200,https://x.com/oddschecker,"[2026-06-20T19:06:47.000Z] RT @wizard_season: 🚨 Diomande, Tah & Nathaniel Brown ALL START ✅️ for our World Cup betbuilders for Germany v Ivory Coast! 2 bets @ 1.80 &… || [2026-06-20T09:59:42.000Z] 🇩🇪 GERMANY v IVORY COAST 🇨🇮 - Betbuilder @ 1.80 (1pt) - Longshot Betbuilder @ 6.50 (0.25pt) 👉 *** 1+ foul in last 29/30 starts. 👉 *** 1+ fouls won in last 6/6 starts. 👉 *** up against Diomande 👀 2 cracking WC bets for @oddschecker 👇 https://t.co/Da7IydzNhC || [2026-06-20T18:53:00.000Z] 🚨 Diomande, Tah & Nathaniel Brown ALL START ✅️ for our World Cup betbuilders for Germany v Ivory Coast! 2 bets @ 1.80 & 6.50 for @oddschecker 👇",Betting,51,287,D,2026-06-20T23:54:22.468Z,2026-06-20T19:06:47.000Z
Betfair,X,160500,https://x.com/Betfair,"[2026-06-20T18:54:34.000Z] When Netherlands qualify for the World Cup, they usually stick around. 2nd • 2nd • 15th • 7th • 4th • 11th • 2nd • 3rd • 5th • ? https://t.co/csewjfKl5P || [2026-06-20T18:51:51.000Z] 2⃣ goals in 2⃣ games at the World Cup so far. Crysencio Summerville is a man in demand 🔥 https://t.co/Cic6Slawic || [2026-06-20T17:52:02.000Z] RT @BetfairRacing: Spot the red cap 👀 Jockey Seamie Heffernan handed a 14-day suspension and trainer Tony Martin fined €3,000 following Eb…",Betting,48,299,D,2026-06-20T23:54:22.468Z,2026-06-20T18:54:34.000Z
CoinMarketCap,X,7100000,https://x.com/CoinMarketCap,"[2026-06-20T18:10:12.000Z] LATEST: 📊 CryptoQuant’s Ki Young Ju says Strategy’s STRC is most vulnerable if Bitcoin goes sideways for years, warning that “Bitcoin boredom” could erode demand for the instrument. https://t.co/bpJsshWJQv || [2026-06-20T17:00:07.000Z] CMC Blue is my favorite 💙 || [2026-06-20T14:15:01.000Z] EXPLAINED: 🚀 What do Binance, Hyperliquid, Backpack, and Trust Wallet all have in common? They're all betting that stocks belong on-chain. A tokenized SpaceX hit Solana the day it IPO'd, and one early flip could have beaten up to 6 years of holding ETH. Are stocks the new",Crypto Traders,48,344,D,2026-06-20T23:54:22.468Z,2026-06-20T18:10:12.000Z
propsdotcash,X,161500,https://x.com/propsdotcash,"[2026-06-20T17:33:18.000Z] I don’t think I’ve ever heard Kawhi talk this much 😅 “Big hand man, so I never lose it…” “You see the drip… I’m always fresh if the Feds watching that’s what 2 chainz said.” “My daily music rotation includes… Rich Rocka. CashBoy Tax, and myself included…” (h/t https://t.co/N1teg8Z4Yo || [2026-06-20T21:50:32.000Z] this gotta be the most he’s ever talked in an interview || [2026-06-20T17:58:04.000Z] KELSEY MITCHELL BROKE BOTH OF HER ANKLES THIS IS CRAZY. 🤯 (h/t @ShowCaseShabazz) https://t.co/CXPpKQBpjq",Betting,40,381,D,2026-06-20T23:54:22.468Z,2026-06-20T17:33:18.000Z
BetMGM,X,328100,https://x.com/BetMGM,"[2026-06-20T16:32:24.000Z] Another $1 million in bonus bets has been PAID OUT after yesterday's 2-goal performance 💸 The Goal Rush promotion will continue throughout the Tournament for EVERY #USMNT match 🔗: https://t.co/RGWtzLCy6l https://t.co/t9tx3QSHCF || [2026-06-20T22:37:38.000Z] Villanova dudes are running the league right now - Jalen, Josh, Mikal won a chip - Collin signed a 4yr $48M deal https://t.co/i6hspNKzbL || [2026-06-20T22:34:13.000Z] RT @BetMGM: The Netherlands now owns the longest unbeaten streak in World Cup history (14 games) https://t.co/EsG1vLyrFI",Betting,43,441,D,2026-06-20T23:54:22.468Z,2026-06-20T16:32:24.000Z
ActionNetworkHQ,X,252000,https://x.com/ActionNetworkHQ,[2026-06-20T16:26:29.000Z] 🇺🇸 USA's most likely Round of 32 opponent based on @RotoDoc's simulations Bosnia and Herzegovina: 55.6% Qatar: 19.6% Ecuador: 7.5% Senegal: 4.5% https://t.co/wrThM0vTr5 || [2026-06-20T22:56:43.000Z] OZZIE ALBIES WALK-OFF HOMER!💣 He crushes his second home run of the game to win it for Atlanta! (-137)🔥 https://t.co/M7vq26RQS8 || [2026-06-20T23:03:10.000Z] The Brewers had a 91% win probability right before this swing 😳📉 https://t.co/JvNHbvg4tD,Betting,40,447,D,2026-06-20T23:54:22.468Z,2026-06-20T16:26:29.000Z
PolymarketLoL,X,14100,https://x.com/PolymarketLoL,"[2026-06-20T16:22:37.000Z] If HLE or T1 wins MSI, LCK will tie LPL at 5 titles each 🏆 Traders are giving LCK a 63% chance of making it happen 👀 https://t.co/wS0EcBmS8H || [2026-06-20T19:00:26.000Z] JUST IN: Croatia 🇭🇷 are OUT of Esports Nation Cup after losing to Hungary 🇭🇺 and Serbia 🇷🇸 🇭🇷 vs 🇭🇺 - 0-1 🇭🇷 vs 🇷🇸 - 0-1 - Perkz was unable to qualify to ENC Main Stage... https://t.co/ZmF1J303Ka || [2026-06-20T17:24:43.000Z] JUST IN: Germany 🇩🇪 defeats Belgium 🇧🇪 in the ENC qualifier - they will play against Netherlands 🇳🇱 tomorrow in a Bo3 for a spot in the Main Event. https://t.co/TdclWuZpGK",Polymarket,43,451,D,2026-06-20T23:54:22.468Z,2026-06-20T16:22:37.000Z
PolymarketFC,X,207200,https://x.com/PolymarketFC,[2026-06-20T15:48:28.000Z] 🚨 NEVER SEEN BEFORE! 🤯 Lamine Yamal celebrating Spain’s elimination against Morocco in World Cup 2022. 🇲🇦🇪🇸 https://t.co/lc2JYy7tri || [2025-04-26T21:33:43.000Z] https://t.co/r6uEI5UBZ0 || [2025-04-26T22:41:39.000Z] It’s over https://t.co/7KFMgUuRrc,Polymarket,40,485,D,2026-06-20T23:54:22.468Z,2026-06-20T15:48:28.000Z
FanDuel,X,395700,https://x.com/FanDuel,"[2026-06-20T13:53:58.000Z] Should Christian Pulisic suit up for the U.S. vs. Türkiye? Gregg Berhalter says yes: ""I think you do a return to play. You don't want that much time (between games)."" @RobStoneONFOX | #USMNT https://t.co/ZiMYGylANY || [2026-06-20T23:42:49.000Z] True or False? ✍️ Cade Cunningham > Jalen Brunson https://t.co/lAqI7nOhrh || [2026-06-20T22:39:15.000Z] OZZIE WALKS IT OFF FOR THE BRAVES OMG 😱 https://t.co/sD29kU2Tj9",Betting,43,600,D,2026-06-20T23:54:22.468Z,2026-06-20T13:53:58.000Z
bet365,X,488300,https://x.com/bet365,"[2026-06-20T13:35:38.000Z] Lamine Yamal will have a better career than Mo Salah, Arjen Robben & Gareth Bale. 🗣️ @Tgarratt10 https://t.co/DE4TkSGOMg || [2026-06-20T22:27:00.000Z] A Time-Out is one of a number of tools available to help you stay in control of your gambling. || [2026-06-20T22:01:06.000Z] 29 spaces left.",Betting,43,618,D,2026-06-20T23:54:22.468Z,2026-06-20T13:35:38.000Z
esidery,X,69400,https://x.com/esidery,"[2026-06-20T13:22:03.000Z] The Bucks and Heat are making significant progress towards a Giannis Antetokounmpo trade being finished. Milwaukee and Miami are haggling over inclusions of unprotected future picks and all of their prospects. The Pistons appear to be involved as a facilitator for Tyler Herro. https://t.co/YVvlXQTIvi || [2025-02-02T08:47:34.000Z] The Lakers and Mavericks will face off on February 25th in Los Angeles for a nationally televised game on TNT. This will now very likely become the most watched NBA regular season game in years. https://t.co/oSyZCooGVO || [2025-02-03T17:46:00.000Z] The Luka Doncic trade would’ve included Dalton Knecht and more first-round picks, but Rob Pelinka was able to convince Nico Harrison that was too much due to his conditioning concerns, per @kirkgoldsberry (https://t.co/jsMFVD7OOv). What an unbelievable blunder for the Mavericks. https://t.co/Ihqth3u8xW",Polymarket,43,632,D,2026-06-20T23:54:22.468Z,2026-06-20T13:22:03.000Z
PickTheOdd,X,4271,https://x.com/PickTheOdd,"[2026-06-19T23:25:41.000Z] Today's New Feature: 🆕 - New Feature: Hold % Limits and Shares Limits for EV calculations. Found in the EV section, you can now limit a specific book, or an advanced filter down by max Hold % and/or max shares. Share is another version of liquidity but if you need a full https://t.co/FNNvNH1rnb || [2026-06-20T22:58:36.000Z] 🇪🇨 Ecuador vs Curaçao 🇨🇼 Top goal scorer odds for this match: 👇 • Enner Valencia (-115 on Fanatics) • John Yeboah (+178 on Caesars) • Gonzalo Plata (+210 on HardRock) Best Odds from the @PickTheOdd Odds Screen! 📊 #FIFAWorldCup https://t.co/j3GKhS796Z || [2026-06-20T18:57:34.000Z] RT @PickTheOdd: Today's New Feature: 🆕 - New Feature: Hold % Limits and Shares Limits for EV calculations. Found in the EV section, you ca…",Betting,36,1468,D,2026-06-20T23:54:22.468Z,2026-06-19T23:25:41.000Z
PollTracker2024,X,47000,https://x.com/PollTracker2024,"[2026-06-19T21:30:59.000Z] YouGov poll | 6/2-6/5 Do you approve of Juneteenth being a national holiday? ✅Approve 67% ❌Disapprove 21% —— Crosstabs (net approval) ✅Democrats: (+86) [91-5] ✅Republicans: (+8) [47-39] ✅Independents: (+45) [64-19] ✅Black: (+77) [85-8] ✅White: (+37) [63-26] ✅Hispanic: https://t.co/oJFQio9CFZ || [2025-01-21T05:33:00.000Z] This is really something. https://t.co/i0sDvlUynJ || [2024-11-28T15:44:14.000Z] Thankful for Nancy’s one good quality, today. https://t.co/hzKCZ0VPV4",Prediction Markets,33,1583,D,2026-06-20T23:54:22.468Z,2026-06-19T21:30:59.000Z
