用户名,类别,最新帖子,示例帖子
Covers,X · S级 · 7分钟,[2026-06-21T01:55:54.000Z] ECUADOR ML JUST RUINED SO MANY PARLAYS 😭 THE ODDS FOR A DRAW WERE +950 🤯 WHO SAW THIS ONE COMING? 🇨🇼 https://t.co/GAKyvEBxVM,ECUADOR ML JUST RUINED SO MANY PARLAYS 😭 THE ODDS FOR A DRAW WERE +950 🤯 WHO SAW THIS ONE COMING? 🇨🇼 https://t.co/GAKyvEBxVM
DraftKings,X · S级 · 13分钟,[2026-06-21T01:50:17.000Z] Would you rather… 🔴 Hit three home runs ⚪️ Hit for the cycle That’s Schwarber and Harper tonight 🤯 https://t.co/994dmsHmgw,Would you rather… 🔴 Hit three home runs ⚪️ Hit for the cycle That’s Schwarber and Harper tonight 🤯 https://t.co/994dmsHmgw
Polymarket,X · A级 · 16分钟,[2026-06-21T01:47:06.000Z] RT @Polymarket: 🚨 NEW POLYMARKET: Ukraine signs peace deal with Russia by August 31? https://t.co/NCXLajUbj9,RT @Polymarket: 🚨 NEW POLYMARKET: Ukraine signs peace deal with Russia by August 31? https://t.co/NCXLajUbj9
CaesarsSports,X · C级 · 85分钟,[2026-06-21T00:38:39.000Z] This is INSANE 🫪 (h/t ESPNFC) https://t.co/ShdmgV72WO,This is INSANE 🫪 (h/t ESPNFC) https://t.co/ShdmgV72WO
WuBlockchain,X · C级 · 132分钟,"[2026-06-20T23:51:52.000Z] Ethereum's Well-Known MEV Bot JaredFromSubway Exploited, Suffers $7.5 Million Loss Blockchain security firm Blockaid reported that Ethereum MEV bot JaredFromSubway lost approximately $7.5 million after attacker-controlled contracts tricked its automated execution system into https://t.co/jIGWAiDW9F","Ethereum's Well-Known MEV Bot JaredFromSubway Exploited, Suffers $7.5 Million Loss Blockchain security firm Blockaid reported that Ethereum MEV bot JaredFromSubway lost approximately $7.5 million after attacker-controlled contracts tricked its automated execution system into https://t.co/jIGWAiDW9F"
oddscheckerUS,X · C级 · 180分钟,"[2026-06-20T23:03:23.000Z] It is officially ""Win or Go Home"" mode in Kansas City. 🍿⚽️ Both Ecuador and Curacao dropped their opening-day matches, meaning the loser of tonight's match is virtually booked on a flight home. Ecuador needs goals, and they need them fast if they want to survive https://t.co/CZBfXOxhAC","It is officially ""Win or Go Home"" mode in Kansas City. 🍿⚽️ Both Ecuador and Curacao dropped their opening-day matches, meaning the loser of tonight's match is virtually booked on a flight home. Ecuador needs goals, and they need them fast if they want to survive https://t.co/CZBfXOxhAC"
PolymarketCS2,X · D级 · 193分钟,[2026-06-20T22:49:58.000Z] Counter-Strike https://t.co/bT0Cik6aVR,Counter-Strike https://t.co/bT0Cik6aVR
propsdotcash,X · D级 · 346分钟,"[2026-06-20T20:17:23.000Z] AJ Dybantsa says he didn’t workout for any NBA teams: “I didn’t work out for none, I just visited the cities. Take me to the facility, take me to dinner, talk. I don’t gotta workout. They know what I can do.” (via onbaselinebanter/YT, h/t @SleeperWizards) https://t.co/TNxRcHujgD","AJ Dybantsa says he didn’t workout for any NBA teams: “I didn’t work out for none, I just visited the cities. Take me to the facility, take me to dinner, talk. I don’t gotta workout. They know what I can do.” (via onbaselinebanter/YT, h/t @SleeperWizards) https://t.co/TNxRcHujgD"
oddschecker,X · D级 · 417分钟,"[2026-06-20T19:06:47.000Z] RT @wizard_season: 🚨 Diomande, Tah & Nathaniel Brown ALL START ✅️ for our World Cup betbuilders for Germany v Ivory Coast! 2 bets @ 1.80 &…","RT @wizard_season: 🚨 Diomande, Tah & Nathaniel Brown ALL START ✅️ for our World Cup betbuilders for Germany v Ivory Coast! 2 bets @ 1.80 &…"
Betfair,X · D级 · 429分钟,"[2026-06-20T18:54:34.000Z] When Netherlands qualify for the World Cup, they usually stick around. 2nd • 2nd • 15th • 7th • 4th • 11th • 2nd • 3rd • 5th • ? https://t.co/csewjfKl5P","When Netherlands qualify for the World Cup, they usually stick around. 2nd • 2nd • 15th • 7th • 4th • 11th • 2nd • 3rd • 5th • ? https://t.co/csewjfKl5P"
CoinMarketCap,X · D级 · 473分钟,"[2026-06-20T18:10:12.000Z] LATEST: 📊 CryptoQuant’s Ki Young Ju says Strategy’s STRC is most vulnerable if Bitcoin goes sideways for years, warning that “Bitcoin boredom” could erode demand for the instrument. https://t.co/bpJsshWJQv","LATEST: 📊 CryptoQuant’s Ki Young Ju says Strategy’s STRC is most vulnerable if Bitcoin goes sideways for years, warning that “Bitcoin boredom” could erode demand for the instrument. https://t.co/bpJsshWJQv"
BetMGM,X · D级 · 571分钟,[2026-06-20T16:32:24.000Z] Another $1 million in bonus bets has been PAID OUT after yesterday's 2-goal performance 💸 The Goal Rush promotion will continue throughout the Tournament for EVERY #USMNT match 🔗: https://t.co/RGWtzLCy6l https://t.co/t9tx3QSHCF,Another $1 million in bonus bets has been PAID OUT after yesterday's 2-goal performance 💸 The Goal Rush promotion will continue throughout the Tournament for EVERY #USMNT match 🔗: https://t.co/RGWtzLCy6l https://t.co/t9tx3QSHCF
ActionNetworkHQ,X · D级 · 577分钟,[2026-06-20T16:26:29.000Z] 🇺🇸 USA's most likely Round of 32 opponent based on @RotoDoc's simulations Bosnia and Herzegovina: 55.6% Qatar: 19.6% Ecuador: 7.5% Senegal: 4.5% https://t.co/wrThM0vTr5,🇺🇸 USA's most likely Round of 32 opponent based on @RotoDoc's simulations Bosnia and Herzegovina: 55.6% Qatar: 19.6% Ecuador: 7.5% Senegal: 4.5% https://t.co/wrThM0vTr5
PolymarketLoL,X · D级 · 581分钟,"[2026-06-20T16:22:37.000Z] If HLE or T1 wins MSI, LCK will tie LPL at 5 titles each 🏆 Traders are giving LCK a 63% chance of making it happen 👀 https://t.co/wS0EcBmS8H","If HLE or T1 wins MSI, LCK will tie LPL at 5 titles each 🏆 Traders are giving LCK a 63% chance of making it happen 👀 https://t.co/wS0EcBmS8H"
PolymarketFC,X · D级 · 615分钟,[2026-06-20T15:48:28.000Z] 🚨 NEVER SEEN BEFORE! 🤯 Lamine Yamal celebrating Spain’s elimination against Morocco in World Cup 2022. 🇲🇦🇪🇸 https://t.co/lc2JYy7tri,🚨 NEVER SEEN BEFORE! 🤯 Lamine Yamal celebrating Spain’s elimination against Morocco in World Cup 2022. 🇲🇦🇪🇸 https://t.co/lc2JYy7tri
FanDuel,X · D级 · 729分钟,"[2026-06-20T13:53:58.000Z] Should Christian Pulisic suit up for the U.S. vs. Türkiye? Gregg Berhalter says yes: ""I think you do a return to play. You don't want that much time (between games)."" @RobStoneONFOX | #USMNT https://t.co/ZiMYGylANY","Should Christian Pulisic suit up for the U.S. vs. Türkiye? Gregg Berhalter says yes: ""I think you do a return to play. You don't want that much time (between games)."" @RobStoneONFOX | #USMNT https://t.co/ZiMYGylANY"
bet365,X · D级 · 748分钟,"[2026-06-20T13:35:38.000Z] Lamine Yamal will have a better career than Mo Salah, Arjen Robben & Gareth Bale. 🗣️ @Tgarratt10 https://t.co/DE4TkSGOMg","Lamine Yamal will have a better career than Mo Salah, Arjen Robben & Gareth Bale. 🗣️ @Tgarratt10 https://t.co/DE4TkSGOMg"
esidery,X · D级 · 761分钟,[2026-06-20T13:22:03.000Z] The Bucks and Heat are making significant progress towards a Giannis Antetokounmpo trade being finished. Milwaukee and Miami are haggling over inclusions of unprotected future picks and all of their prospects. The Pistons appear to be involved as a facilitator for Tyler Herro. https://t.co/YVvlXQTIvi,The Bucks and Heat are making significant progress towards a Giannis Antetokounmpo trade being finished. Milwaukee and Miami are haggling over inclusions of unprotected future picks and all of their prospects. The Pistons appear to be involved as a facilitator for Tyler Herro. https://t.co/YVvlXQTIvi
PickTheOdd,X · D级 · 1598分钟,"[2026-06-19T23:25:41.000Z] Today's New Feature: 🆕 - New Feature: Hold % Limits and Shares Limits for EV calculations. Found in the EV section, you can now limit a specific book, or an advanced filter down by max Hold % and/or max shares. Share is another version of liquidity but if you need a full https://t.co/FNNvNH1rnb","Today's New Feature: 🆕 - New Feature: Hold % Limits and Shares Limits for EV calculations. Found in the EV section, you can now limit a specific book, or an advanced filter down by max Hold % and/or max shares. Share is another version of liquidity but if you need a full https://t.co/FNNvNH1rnb"
PollTracker2024,X · D级 · 1712分钟,[2026-06-19T21:30:59.000Z] YouGov poll | 6/2-6/5 Do you approve of Juneteenth being a national holiday? ✅Approve 67% ❌Disapprove 21% —— Crosstabs (net approval) ✅Democrats: (+86) [91-5] ✅Republicans: (+8) [47-39] ✅Independents: (+45) [64-19] ✅Black: (+77) [85-8] ✅White: (+37) [63-26] ✅Hispanic: https://t.co/oJFQio9CFZ,YouGov poll | 6/2-6/5 Do you approve of Juneteenth being a national holiday? ✅Approve 67% ❌Disapprove 21% —— Crosstabs (net approval) ✅Democrats: (+86) [91-5] ✅Republicans: (+8) [47-39] ✅Independents: (+45) [64-19] ✅Black: (+77) [85-8] ✅White: (+37) [63-26] ✅Hispanic: https://t.co/oJFQio9CFZ
